instance,feasible,objective,obj1,obj2,obj3,wall,lbbd_iters,cuts,nogoods,stop,lb,note
1,True,1499.0,0.0,157,2.0,0.87,0,0,0,assignment_lb_reached,1499.0,
2,True,3690.0,0.0,144,15.0,0.88,0,0,0,assignment_lb_reached,3690.0,
3,True,52060.0,0.0,2251,197.0,50.59,32,0,32,,,
4,True,16916.0,0.0,2188,8.0,11.14,10,0,10,master_bound_closed,,
5,True,74937.0,0.0,1491,430.0,48.41,27,0,27,,,
6,True,78191.0,0.0,2363,411.0,49.26,19,0,19,,,
7,True,87843.0,0.0,1899,497.0,48.15,15,2,15,,,
8,True,11252.0,0.0,2413,8.0,2.24,0,0,0,assignment_lb_reached,11252.0,
9,True,73685.0,0.0,1717,434.0,46.15,40,0,40,,,
10,True,78785.0,0.0,1660,505.0,48.6,33,0,33,,,
11,True,121687.0,3.0,292,384.0,48.51,12,0,12,,,
12,True,109739.0,0.0,1636,739.0,48.12,8,34,8,,,
13,True,196436.0,4.0,2272,832.0,42.32,6,0,6,,,
14,True,228876.0,9.0,1193,473.0,46.22,9,0,9,,,
15,True,60069.0,0.0,4220,293.0,47.23,10,0,10,,,
16,True,73564.0,0.0,3328,428.0,47.67,31,0,31,,,
17,True,61760.0,0.0,6928,256.0,46.76,32,0,32,,,
18,True,86098.0,0.0,2040,586.0,40.57,6,0,6,,,
19,True,81726.0,0.0,4139,490.0,43.44,8,4,8,,,
20,True,260450.0,5.0,2415,901.0,42.3,2,0,2,,,
21,True,5277656.0,362.0,696,2961.0,52.03,0,0,0,,,
22,True,1770944.0,54.0,2054,2612.0,35.66,1,3,1,,,
23,True,4468538.0,327.0,735,148.0,44.08,0,0,0,,,
24,True,2448516.0,162.0,774,949.0,36.43,0,0,0,,,
25,True,521801.0,742.0,1007,1294.0,51.78,0,0,0,,,
26,True,22177532.0,1623.0,3539,3422.0,50.77,0,0,0,,,
27,True,60791136.0,4480.0,7648,2610.0,50.71,0,0,0,,,
28,True,6205116.0,432.0,320,1481.0,50.72,0,0,0,,,
29,True,1375150.0,55.0,4645,2093.0,42.53,0,0,0,,,
30,True,7363288.0,544.0,2434,502.0,50.69,0,0,0,,,
31,True,35501729.0,2468.0,8581,9626.0,49.8,0,0,0,,,
32,True,4519950.0,1155.0,2307,1098.0,49.95,0,0,0,,,
33,True,13048722.0,1926.0,1653,1277.0,49.79,0,0,0,,,
34,True,1752697.0,435.0,2146,540.0,49.69,0,0,0,,,
35,True,4730051.0,332.0,579,2004.0,49.68,0,0,0,,,
36,True,568920.0,678.0,2827,8759.0,47.65,0,0,0,,,
37,True,6372359.0,1611.0,2624,1654.0,48.81,0,0,0,,,
38,True,68630442.0,5100.0,4221,2079.0,48.83,0,0,0,,,
39,True,20151141.0,1477.0,1475,3016.0,48.86,0,0,0,,,
40,True,5674974.0,8407.0,5261,219.0,48.9,0,0,0,,,from pre-sweep single run, same protocol
