instance,feasible,objective,obj1,obj2,obj3,wall,margin_vs_0.90x60,total_z1_gap,delayed_block_count,note
1,True,59681.0,2.0,157,2.0,1.0,53.0,2,1,
2,True,3690.0,0.0,144,15.0,0.38,53.62,,0,
3,True,599057.0,21.0,2330,105.0,5.16,48.84,21,9,
4,True,125536.0,5.0,2278,0.0,3.1,50.9,5,3,
5,True,1300788.0,79.0,2534,127.0,6.16,47.84,79,17,
6,True,2342617.0,78.0,3211,60.0,4.87,49.13,78,13,
7,True,2552881.0,142.0,2215,86.0,9.32,44.68,142,25,
8,True,11252.0,0.0,2413,8.0,0.76,53.24,,0,
9,True,210481.0,12.0,2147,265.0,3.17,50.83,12,5,
10,True,1125667.0,73.0,2856,330.0,3.51,50.49,73,13,
11,True,1607998.0,70.0,213,49.0,7.65,46.35,70,15,
12,True,8102840.0,368.0,3540,92.0,12.81,41.19,365,43,
13,True,1733628.0,91.0,4364,141.0,12.31,41.69,91,22,
14,True,2271262.0,126.0,2310,148.0,14.57,39.43,126,21,
15,True,962868.0,63.0,4149,66.0,8.43,45.57,63,16,
16,True,301910.0,31.0,3887,52.0,4.78,49.22,31,11,
17,True,359863.0,32.0,7103,159.0,4.41,49.59,32,10,
18,True,1020543.0,75.0,4876,8.0,14.33,39.67,75,25,
19,True,2933504.0,272.0,6291,52.0,17.92,36.08,266,28,
20,True,6798827.0,253.0,3721,238.0,17.68,36.32,253,49,
21,True,22944512.0,1714.0,6340,189.0,55.22,-1.22,n/a,54,
22,True,18981550.0,1418.0,11252,104.0,22.58,31.42,1418,57,
23,True,5238353.0,386.0,597,2.0,54.88,-0.88,n/a,44,
24,True,9211192.0,689.0,3451,25.0,51.61,2.39,n/a,34,
25,True,1030059.0,1536.0,5067,24.0,56.0,-2.0,n/a,48,
26,True,59379214.0,4448.0,10190,18.0,59.69,-5.69,n/a,96,
27,True,61660104.0,4586.0,5883,1258.0,56.95,-2.95,n/a,103,
28,True,15817434.0,1185.0,5943,0.0,55.76,-1.76,n/a,82,
29,True,12101147.0,905.0,11594,0.0,55.02,-1.02,n/a,72,
30,True,7736059.0,579.0,2263,36.0,55.71,-1.71,n/a,83,
31,True,81246942.0,6009.0,21294,3989.0,57.74,-3.74,n/a,127,
32,True,7497025.0,2205.0,4952,205.0,55.28,-1.28,n/a,114,
33,True,16836024.0,2522.0,1045,76.0,61.5,-7.5,n/a,142,
34,True,2801246.0,823.0,3287,66.0,55.74,-1.74,n/a,83,
35,True,12315971.0,922.0,4229,12.0,56.13,-2.13,n/a,89,
36,True,3492701.0,5189.0,12892,1442.0,61.67,-7.67,n/a,139,
37,True,10805263.0,3223.0,13801,13.0,55.98,-1.98,n/a,134,
38,False,-1,,,,65.02,-11.02,n/a,n/a,HARD TIMEOUT after 65.0s
39,True,31184815.0,2337.0,5911,13.0,62.03,-8.03,n/a,150,
40,False,-1,,,,65.01,-11.01,n/a,n/a,HARD TIMEOUT after 65.0s
