ts,inst,timelimit,requested_arm,assign_arm_reported,rep,hard_timeout_s,killed,wall_s,margin_vs_090t_s,margin_vs_305s_hard_kill_s,feasible,objective,obj1,obj2,obj3,full_ran,full_master_status,full_assignment_source,full_skipped_msg,full_aborted,lbbd_ran,lbbd_n_iters,lbbd_stop,lbbd_stop_lb,lbbd_stop_best,seed_pack_s,seed_audit_s,seed_feasible,best_objective_internal,elapsed_internal,pass_names,error,notes
2026-07-27T16:31:00,prob_5.json,60.0,baseline,baseline,calib_start,130.0,False,48.695,5.3,256.31,True,75662.0,0.0,1616,429.0,True,OPTIMAL,,,False,True,14,,,,0.23,0.06,True,75662.0,48.69266370800324,seed;seed+repair;full;lbbd_0;lbbd_1;lbbd_2;lbbd_3;lbbd_4;lbbd_5;lbbd_6;lbbd_7;lbbd_8;lbbd_9;lbbd_10;lbbd_11;lbbd_12;lbbd_13,,calibration control pre-panel
2026-07-27T16:35:06,prob_21.json,300.0,baseline,baseline,rep1,310.0,False,230.846,39.15,74.15,True,5220133.0,361.0,582,2674.0,True,OPTIMAL,,,False,True,1,,,,2.54,0.06,True,5220133.0,230.8433303749989,seed;seed+repair;full;lbbd_0,,prob_21 main panel rep1 baseline
2026-07-27T16:39:12,prob_21.json,300.0,congestion,congestion,rep1,310.0,False,217.896,52.1,87.1,True,4614863.0,311.0,1620,3014.0,True,,external,,False,True,1,,,,1.93,0.06,True,4614863.0,217.89294670800155,seed;seed+repair;full;lbbd_0,,prob_21 main panel rep1 congestion
2026-07-27T16:42:23,prob_21.json,300.0,baseline,baseline,rep2,310.0,False,171.499,98.5,133.5,True,5220133.0,361.0,582,2674.0,True,OPTIMAL,,,False,False,0,,,,2.65,0.06,True,5220133.0,171.49613824999687,seed;seed+repair;full,,prob_21 main panel rep2 baseline
2026-07-27T16:45:27,prob_21.json,300.0,congestion,congestion,rep2,310.0,False,165.994,104.01,139.01,True,4614863.0,311.0,1620,3014.0,True,,external,,False,False,0,,,,5.05,0.09,True,4614863.0,165.98880604199803,seed;seed+repair;full,,prob_21 main panel rep2 congestion
2026-07-27T16:49:28,prob_21.json,300.0,baseline,baseline,rep3,310.0,False,227.177,42.82,77.82,True,5220133.0,361.0,582,2674.0,True,OPTIMAL,,,False,True,1,,,,2.53,0.06,True,5220133.0,227.17399183300586,seed;seed+repair;full;lbbd_0,,prob_21 main panel rep3 baseline
2026-07-27T16:53:17,prob_21.json,300.0,congestion,congestion,rep3,310.0,False,214.479,55.52,90.52,True,4614863.0,311.0,1620,3014.0,True,,external,,False,True,1,,,,1.93,0.06,True,4614863.0,214.4765645840016,seed;seed+repair;full;lbbd_0,,prob_21 main panel rep3 congestion
2026-07-27T19:52:54,prob_26.json,300.0,baseline,baseline,rep1,310.0,False,274.394,-4.39,30.61,True,22168638.0,1623.0,3597,3360.0,True,OPTIMAL,,,False,False,0,,,,5.3,0.2,True,22168638.0,274.3903087910003,seed;seed+repair;full,,prob_26 main panel rep1 baseline (restart after session gap)
2026-07-27T19:57:46,prob_26.json,300.0,congestion,congestion,rep1,310.0,False,274.382,-4.38,30.62,True,19286988.0,1399.0,3203,4078.0,True,,external,,False,False,0,,,,3.93,0.19,True,19286988.0,274.3783815409988,seed;seed+repair;full,,prob_26 main panel rep1 congestion
2026-07-27T20:02:38,prob_26.json,300.0,baseline,baseline,rep2,310.0,False,274.083,-4.08,30.92,True,22168638.0,1623.0,3597,3360.0,True,OPTIMAL,,,False,False,0,,,,5.14,0.2,True,22168638.0,274.0796311249942,seed;seed+repair;full,,prob_26 main panel rep2 baseline
