role,timestamp,instance,arm_requested,arm_reported,rep,timelimit,feasible,objective,obj1,obj2,obj3,wall_solve_s,wall_script_s,stop_reason,assignment_lb,lbbd_iters,full_present,full_aborted,full_skipped,seed_feasible,master_status_full,arm_info,error,raw_info_file
calibration_start,2026-07-27T13:18:54,prob_5,baseline,baseline,0,60.0,True,74937.0,0.0,1491,430.0,48.433,49.9,NO_STOP_ENTRY,,27,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_5_baseline_rep0.json
calibration_end,2026-07-27T14:23:55,prob_5,baseline,baseline,1,60.0,True,75662.0,0.0,1616,429.0,50.844,53.31,NO_STOP_ENTRY,,12,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_5_baseline_rep1.json
screening_n1,2026-07-27T13:20:05,prob_1,baseline,baseline,0,60.0,True,1499.0,0.0,157,2.0,0.806,1.97,assignment_lb_reached,1499.0,0,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_1_baseline_rep0.json
screening_n1,2026-07-27T13:20:17,prob_1,congestion,congestion,0,60.0,True,1499.0,0.0,157,2.0,1.155,2.12,master_bound_closed,1499.0,1,True,False,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 51, ""1"": 49}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_1_congestion_rep0.json
screening_n1,2026-07-27T13:20:31,prob_2,baseline,baseline,0,60.0,True,3690.0,0.0,144,15.0,0.84,1.85,assignment_lb_reached,3690.0,0,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_2_baseline_rep0.json
screening_n1,2026-07-27T13:20:41,prob_2,congestion,congestion,0,60.0,True,3690.0,0.0,144,15.0,0.932,1.89,master_bound_closed,3690.0,1,True,False,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 35, ""1"": 37, ""2"": 28}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_2_congestion_rep0.json
screening_n1,2026-07-27T13:20:51,prob_3,baseline,baseline,0,60.0,True,52060.0,0.0,2251,197.0,49.516,50.52,NO_STOP_ENTRY,,32,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_3_baseline_rep0.json
screening_n1,2026-07-27T13:21:54,prob_3,congestion,congestion,0,60.0,True,52060.0,0.0,2251,197.0,49.729,51.26,NO_STOP_ENTRY,,32,True,False,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 36, ""1"": 26, ""2"": 38}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_3_congestion_rep0.json
screening_n1,2026-07-27T13:22:57,prob_4,baseline,baseline,0,60.0,True,16916.0,0.0,2188,8.0,11.124,12.74,bound_closed_with_open_candidates,18129.0,10,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_4_baseline_rep0.json
screening_n1,2026-07-27T13:23:18,prob_4,congestion,congestion,0,60.0,True,16916.0,0.0,2188,8.0,11.277,12.47,bound_closed_with_open_candidates,18129.0,10,True,False,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 49, ""1"": 51}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_4_congestion_rep0.json
screening_n1,2026-07-27T13:23:40,prob_5,baseline,baseline,1,60.0,True,74937.0,0.0,1491,430.0,48.368,49.65,NO_STOP_ENTRY,,27,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_5_baseline_rep1.json
screening_n1,2026-07-27T13:24:41,prob_5,congestion,congestion,0,60.0,True,74937.0,0.0,1491,430.0,48.834,50.28,NO_STOP_ENTRY,,27,True,False,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 56, ""1"": 49, ""2"": 45}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_5_congestion_rep0.json
screening_n1,2026-07-27T13:25:41,prob_6,baseline,baseline,0,60.0,True,78191.0,0.0,2363,411.0,48.892,50.07,NO_STOP_ENTRY,,19,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_6_baseline_rep0.json
